edad,ciudad,peso,ingresos,genero,nivel_educacional,fumador,actividad_fisica,estado_civil,horas_suenho,enfermedades_cronicas,consumo_alcohol,uso_transporte
,Temuco,84.7,669000.0,Masculino,Universitaria,No,Alta,Viudo/a,8.0,Sí,Frecuente,Público
0.7,Valdivia,62.4,1569000.0,Femenino,Universitaria,Sí,Alta,Casado/a,6.5,No,Nunca,Público
52.3,Antofagasta,75.5,1140000.0,Masculino,Media,No,,,9.5,Sí,Frecuente,Público
41.3,Temuco,45.0,489000.0,Femenino,Técnica,Sí,Alta,Viudo/a,6.3,No,Ocasional,Público
35.5,Temuco,63.0,858000.0,Masculino,Universitaria,Sí,Media,Viudo/a,,No,Frecuente,Público
41.4,Valdivia,69.6,648000.0,Femenino,Media,No,Media,Separado/a,6.2,Sí,Frecuente,Privado
10.2,Valparaíso,59.1,546000.0,Masculino,Técnica,No,Alta,Soltero/a,,Sí,Nunca,Público
36.7,Antofagasta,58.8,465000.0,Femenino,,Sí,,Separado/a,7.9,No,Ocasional,Público
45.4,Valparaíso,62.0,908000.0,,Universitaria,No,Baja,Casado/a,7.0,No,Nunca,Privado
62.2,Temuco,73.5,630000.0,Masculino,Media,Sí,Media,Soltero/a,8.7,Sí,Frecuente,Privado
32.2,Antofagasta,67.8,,Masculino,Técnica,No,Media,Soltero/a,3.3,No,Frecuente,Bicicleta/Pie
27.9,Temuco,,1048000.0,Femenino,Técnica,Sí,Alta,Viudo/a,7.3,Sí,Nunca,Público
32.5,La Serena,44.6,1143000.0,Masculino,Básica,Sí,Alta,Soltero/a,6.6,No,Ocasional,Público
53.7,Valdivia,62.7,587000.0,Masculino,Básica,Sí,Alta,Casado/a,,,Frecuente,Bicicleta/Pie
44.9,Puerto Montt,75.5,919000.0,Masculino,Universitaria,Sí,Media,Casado/a,5.4,Sí,,Público
32.1,Antofagasta,37.0,958000.0,Masculino,Básica,Sí,Alta,Soltero/a,,Sí,Frecuente,Bicicleta/Pie
47.7,Antofagasta,,681000.0,Femenino,Media,No,Baja,Viudo/a,5.9,No,Ocasional,
41.5,Puerto Montt,63.7,607000.0,Masculino,Universitaria,No,Baja,Casado/a,9.3,Sí,Nunca,Público
54.5,Temuco,86.7,,Masculino,Universitaria,Sí,Alta,Separado/a,7.9,Sí,Ocasional,Público
,La Serena,65.4,857000.0,Femenino,,Sí,Baja,Casado/a,8.5,No,Ocasional,Privado
35.1,Concepción,74.6,959000.0,Femenino,Técnica,No,Baja,Soltero/a,4.4,No,Frecuente,Público
34.1,Puerto Montt,71.7,594000.0,Femenino,Media,No,,Separado/a,8.3,No,Ocasional,
18.0,Valdivia,44.4,495000.0,Masculino,Media,No,Baja,Soltero/a,,No,Frecuente,Privado
44.4,Valparaíso,79.2,658000.0,Femenino,Media,No,Baja,Soltero/a,6.4,No,Ocasional,Bicicleta/Pie
43.9,Temuco,72.6,769000.0,Femenino,Universitaria,No,Media,Soltero/a,6.7,No,Ocasional,Privado
40.1,Puerto Montt,76.1,534000.0,Femenino,Media,Sí,Alta,Viudo/a,5.5,No,Nunca,Bicicleta/Pie
36.5,Puerto Montt,117.1,798000.0,Masculino,Técnica,Sí,Baja,Viudo/a,6.5,No,Ocasional,Privado
18.8,Antofagasta,,378000.0,Masculino,Técnica,No,Alta,,7.8,No,Nunca,Bicicleta/Pie
33.7,Valparaíso,90.7,520000.0,Masculino,Básica,No,Baja,Soltero/a,6.0,No,,Bicicleta/Pie
34.9,Valparaíso,66.6,968000.0,Femenino,Media,No,Media,Separado/a,7.1,Sí,Frecuente,Bicicleta/Pie
28.0,Valdivia,73.4,951000.0,Masculino,Universitaria,No,Media,Separado/a,10.8,Sí,Nunca,Bicicleta/Pie
,Valparaíso,,702000.0,Femenino,Básica,No,Baja,Separado/a,,Sí,Frecuente,Público
46.1,Puerto Montt,64.9,546000.0,Femenino,Técnica,No,Baja,Viudo/a,7.5,No,Frecuente,Privado
68.3,Concepción,63.2,543000.0,Femenino,Media,No,Baja,Viudo/a,5.4,No,Ocasional,Privado
,Santiago,74.0,707000.0,Masculino,Técnica,No,Media,,4.8,Sí,Nunca,Privado
43.9,Temuco,51.8,961000.0,Femenino,Básica,No,Media,Separado/a,8.2,No,Frecuente,Privado
38.9,Santiago,79.0,1032000.0,Femenino,Técnica,Sí,Alta,Separado/a,6.4,No,Nunca,Bicicleta/Pie
11.2,Puerto Montt,65.0,676000.0,Masculino,Media,No,Media,Viudo/a,9.4,No,Ocasional,Público
39.6,Santiago,56.4,512000.0,Femenino,Media,No,,Viudo/a,,No,Frecuente,Privado
40.9,Puerto Montt,64.6,867000.0,Femenino,Básica,Sí,Alta,Separado/a,5.8,No,Frecuente,Privado
76.9,Santiago,85.1,594000.0,Femenino,,Sí,Media,Separado/a,5.7,No,Nunca,Privado
37.1,Valparaíso,63.6,670000.0,Masculino,Técnica,,Media,Casado/a,8.1,No,Frecuente,Bicicleta/Pie
44.5,La Serena,74.3,1131000.0,Femenino,Técnica,No,Baja,Viudo/a,5.4,No,Nunca,Privado
39.5,Valparaíso,61.2,1007000.0,Masculino,Universitaria,No,Alta,,5.4,No,Frecuente,
22.5,Valparaíso,79.1,839000.0,Masculino,Universitaria,No,Media,Soltero/a,4.4,No,Ocasional,Público
57.1,Valdivia,78.2,482000.0,Femenino,Universitaria,No,Media,Separado/a,7.9,No,Ocasional,Bicicleta/Pie
51.3,Antofagasta,92.2,853000.0,Femenino,Técnica,,,Viudo/a,5.8,Sí,Nunca,Público
51.9,Antofagasta,67.9,1066000.0,Femenino,Técnica,No,Alta,Soltero/a,7.5,No,Frecuente,
,Santiago,78.0,706000.0,Femenino,Básica,No,,Viudo/a,5.0,Sí,Frecuente,Bicicleta/Pie
61.0,Puerto Montt,71.2,1138000.0,Masculino,Universitaria,Sí,Alta,Separado/a,4.5,Sí,Nunca,
19.0,Valdivia,85.6,1123000.0,Masculino,Técnica,No,,Separado/a,8.1,Sí,Ocasional,Privado
48.8,Valparaíso,61.4,1216000.0,,Básica,,Baja,Separado/a,6.8,No,Ocasional,Bicicleta/Pie
72.9,Valdivia,78.9,876000.0,Masculino,Técnica,No,Media,Viudo/a,6.0,,Ocasional,Público
25.1,Santiago,67.7,947000.0,,Básica,No,Media,Soltero/a,6.3,No,Nunca,Bicicleta/Pie
31.5,Antofagasta,69.2,1154000.0,Femenino,Universitaria,Sí,Alta,Casado/a,6.3,No,Ocasional,Bicicleta/Pie
41.5,La Serena,71.1,,Femenino,Universitaria,Sí,Alta,Soltero/a,10.1,No,Nunca,
32.4,Temuco,73.0,675000.0,Femenino,Universitaria,Sí,Alta,,7.4,No,Ocasional,Bicicleta/Pie
16.7,Santiago,68.6,688000.0,Masculino,Técnica,,Media,Soltero/a,7.2,Sí,Ocasional,Público
41.0,Valdivia,72.6,860000.0,Masculino,Técnica,No,Media,Casado/a,5.9,No,Nunca,Público
24.1,La Serena,88.9,477000.0,Femenino,Básica,No,Alta,Soltero/a,8.2,Sí,Frecuente,Bicicleta/Pie
47.1,Temuco,81.8,,Femenino,Media,No,Baja,Casado/a,5.3,No,Frecuente,Bicicleta/Pie
26.2,Concepción,80.4,1074000.0,Masculino,Media,Sí,Media,Viudo/a,7.8,Sí,Frecuente,Público
63.2,Santiago,64.5,252000.0,Masculino,Universitaria,Sí,Media,Separado/a,7.8,,Ocasional,Público
28.3,Santiago,59.3,1184000.0,Masculino,Media,Sí,Alta,,8.5,Sí,,
35.2,Concepción,81.5,1081000.0,Femenino,,,Baja,Viudo/a,4.0,No,Frecuente,Público
52.2,Concepción,80.5,685000.0,Masculino,Básica,No,Alta,Separado/a,8.7,Sí,Ocasional,Público
21.5,Santiago,87.7,936000.0,Femenino,Media,Sí,Alta,Casado/a,7.5,No,Ocasional,Bicicleta/Pie
43.4,Concepción,62.8,,Femenino,Media,Sí,Baja,Separado/a,5.9,No,Frecuente,Privado
,Valparaíso,67.2,1107000.0,Masculino,Universitaria,No,Baja,Soltero/a,3.8,,Nunca,Bicicleta/Pie
15.9,Temuco,50.3,1046000.0,Femenino,Básica,No,Baja,Viudo/a,6.4,No,Frecuente,Privado
42.8,Temuco,65.3,450000.0,Masculino,,,Media,Viudo/a,,No,Frecuente,Público
43.9,Temuco,82.0,947000.0,Femenino,Media,Sí,,Viudo/a,4.7,Sí,Nunca,Bicicleta/Pie
51.7,Valparaíso,64.4,749000.0,Femenino,Media,Sí,Media,Viudo/a,5.7,No,Ocasional,Privado
21.4,Puerto Montt,77.7,821000.0,Femenino,Básica,Sí,,Casado/a,,Sí,,Público
20.2,Concepción,67.7,618000.0,Femenino,Básica,Sí,Media,Soltero/a,6.3,,Frecuente,Bicicleta/Pie
47.8,La Serena,73.9,1237000.0,Femenino,Media,No,Baja,Separado/a,5.4,Sí,Ocasional,Privado
44.5,Concepción,56.2,1060000.0,Femenino,,No,,Viudo/a,10.3,No,Ocasional,
43.8,Santiago,71.0,615000.0,Masculino,Universitaria,No,Alta,Viudo/a,8.3,No,Nunca,Privado
45.2,Antofagasta,34.1,466000.0,Masculino,Media,,Alta,Casado/a,5.3,No,Ocasional,Bicicleta/Pie
29.8,Valdivia,67.8,704000.0,Femenino,Básica,No,Alta,Casado/a,5.6,No,Frecuente,Bicicleta/Pie
43.5,Valdivia,,909000.0,Masculino,Media,No,Media,Casado/a,4.8,Sí,Ocasional,Privado
44.4,Temuco,84.5,860000.0,Femenino,Básica,No,Alta,Soltero/a,6.8,Sí,Ocasional,Bicicleta/Pie
29.3,Concepción,79.3,1113000.0,Masculino,Media,No,Baja,Separado/a,9.7,No,Nunca,Bicicleta/Pie
,La Serena,75.6,997000.0,Masculino,Básica,No,Alta,,8.8,No,Nunca,Público
47.1,Santiago,88.3,1042000.0,Femenino,Técnica,Sí,Media,Viudo/a,7.3,No,,Privado
22.1,Valparaíso,,882000.0,Masculino,Universitaria,No,Alta,Casado/a,6.6,No,,
49.8,Puerto Montt,91.0,453000.0,Femenino,Técnica,No,Alta,Viudo/a,7.8,No,,Privado
25.4,Valparaíso,81.2,751000.0,Masculino,Universitaria,,Alta,Separado/a,7.4,Sí,Frecuente,Bicicleta/Pie
51.8,La Serena,67.2,1065000.0,Femenino,Básica,Sí,Media,Separado/a,7.6,No,Frecuente,Privado
57.4,Santiago,83.6,787000.0,Masculino,Técnica,,Baja,,7.3,No,Ocasional,Privado
27.7,Temuco,56.7,926000.0,Femenino,Universitaria,No,Baja,Soltero/a,7.7,No,Ocasional,Público
54.5,Concepción,60.1,720000.0,Masculino,Media,No,Baja,Casado/a,4.9,No,Ocasional,Público
46.2,Santiago,62.7,543000.0,Femenino,Básica,No,Alta,,6.8,Sí,Nunca,Privado
52.3,Valdivia,63.7,769000.0,Masculino,Básica,Sí,Alta,Viudo/a,7.4,No,Nunca,Bicicleta/Pie
68.5,Puerto Montt,57.3,,Femenino,Media,No,Media,Casado/a,6.3,No,Ocasional,Privado
36.3,Valparaíso,84.7,636000.0,Masculino,Media,Sí,Baja,Casado/a,5.1,Sí,Nunca,
28.7,Puerto Montt,66.9,741000.0,Femenino,Universitaria,No,Alta,Viudo/a,7.0,Sí,Nunca,Privado
26.7,Puerto Montt,,565000.0,Masculino,Básica,No,Alta,Separado/a,12.0,No,Nunca,Público
27.8,La Serena,63.2,1080000.0,Femenino,,,Alta,Casado/a,5.8,No,Frecuente,
38.8,La Serena,48.2,726000.0,Femenino,,Sí,Media,Casado/a,6.8,Sí,Ocasional,Bicicleta/Pie
45.1,Concepción,73.2,,Femenino,Básica,No,Baja,Viudo/a,8.9,,Ocasional,Privado
,La Serena,47.1,1182000.0,Femenino,Media,No,Media,Viudo/a,9.7,Sí,Frecuente,Bicicleta/Pie
52.4,La Serena,69.2,780000.0,Masculino,Universitaria,Sí,Baja,Viudo/a,6.1,No,Nunca,Público
40.2,Santiago,53.6,548000.0,Masculino,Universitaria,No,Baja,Viudo/a,8.4,Sí,Ocasional,Privado
61.8,Valdivia,93.8,,Masculino,Universitaria,Sí,Alta,Viudo/a,8.2,No,Nunca,
36.0,Temuco,80.9,432000.0,Femenino,Básica,No,Alta,Casado/a,6.2,Sí,Frecuente,Público
80.8,Concepción,71.3,457000.0,Femenino,Media,Sí,Alta,Soltero/a,7.9,No,Nunca,
49.4,Santiago,85.2,1145000.0,Femenino,Media,,,Soltero/a,6.7,Sí,Frecuente,Bicicleta/Pie
27.1,Temuco,59.8,829000.0,Femenino,Universitaria,Sí,Alta,Soltero/a,6.1,No,Frecuente,
,Puerto Montt,76.5,897000.0,Femenino,Universitaria,No,Baja,Casado/a,9.6,Sí,Nunca,Público
47.2,Santiago,72.4,245000.0,Masculino,Universitaria,,,Separado/a,8.0,,Nunca,Público
36.6,Antofagasta,73.2,501000.0,Masculino,,Sí,Alta,Casado/a,4.5,No,Ocasional,Público
50.7,Santiago,85.3,1022000.0,Masculino,Técnica,No,Media,Soltero/a,6.8,No,Frecuente,Público
47.1,La Serena,78.8,872000.0,Femenino,Técnica,Sí,Media,Soltero/a,6.2,Sí,Nunca,Bicicleta/Pie
38.9,Temuco,73.5,763000.0,,,No,Baja,Viudo/a,,Sí,Nunca,Privado
27.3,Concepción,50.1,941000.0,Femenino,Universitaria,No,Baja,Viudo/a,7.8,Sí,Ocasional,Privado
17.3,Concepción,58.5,,Femenino,Universitaria,Sí,Media,Viudo/a,7.4,No,Ocasional,Bicicleta/Pie
33.3,Temuco,68.5,745000.0,Femenino,Media,,Media,Casado/a,9.2,No,Ocasional,Bicicleta/Pie
52.8,La Serena,71.1,817000.0,Femenino,Básica,No,,Separado/a,8.8,No,Frecuente,Público
,Valparaíso,56.4,848000.0,Femenino,,Sí,Alta,Separado/a,5.2,No,Ocasional,Privado
21.3,Santiago,98.9,1398000.0,Masculino,Técnica,Sí,,Viudo/a,6.9,No,Frecuente,
42.6,La Serena,88.2,275000.0,Masculino,,Sí,Media,Separado/a,4.1,No,Ocasional,Privado
45.8,Antofagasta,77.2,971000.0,Femenino,Universitaria,Sí,Baja,Soltero/a,5.5,No,Frecuente,Bicicleta/Pie
26.7,Valdivia,70.9,771000.0,,Técnica,No,,Soltero/a,3.9,No,Ocasional,Público
,Puerto Montt,67.5,942000.0,Femenino,Técnica,No,Baja,,4.6,Sí,Frecuente,Público
40.9,Temuco,58.6,636000.0,Masculino,Básica,Sí,Baja,Viudo/a,9.1,No,Ocasional,Privado
22.9,Valdivia,70.9,788000.0,,Básica,No,Baja,Viudo/a,8.1,No,Ocasional,Público
45.4,Santiago,73.1,978000.0,Femenino,Técnica,Sí,Alta,Separado/a,7.9,No,Nunca,Bicicleta/Pie
48.4,Concepción,55.1,1578000.0,Masculino,Técnica,Sí,Baja,,8.8,Sí,Frecuente,Bicicleta/Pie
56.2,Puerto Montt,74.0,1002000.0,Masculino,Media,Sí,Alta,Viudo/a,7.9,No,,Privado
55.8,Valdivia,68.1,588000.0,Masculino,Técnica,Sí,Media,Separado/a,6.9,No,Frecuente,Público
19.3,Valparaíso,47.1,694000.0,Femenino,Universitaria,No,Baja,,6.1,No,Nunca,Bicicleta/Pie
25.9,Valdivia,59.7,687000.0,,Media,Sí,Baja,Casado/a,9.5,,Ocasional,
47.7,Antofagasta,65.0,351000.0,Masculino,Universitaria,No,Alta,Viudo/a,9.0,No,Nunca,Bicicleta/Pie
47.7,Concepción,92.7,717000.0,Femenino,Universitaria,Sí,Baja,Soltero/a,6.7,No,Ocasional,Bicicleta/Pie
47.7,Temuco,76.7,983000.0,Femenino,Universitaria,No,Alta,Viudo/a,,No,Frecuente,Público
,Santiago,54.0,481000.0,Masculino,Técnica,No,,Soltero/a,3.0,No,Ocasional,Bicicleta/Pie
48.6,Temuco,75.8,,Femenino,Básica,,Media,Soltero/a,8.2,No,Nunca,Bicicleta/Pie
57.0,Puerto Montt,51.4,922000.0,Masculino,Básica,No,Media,Separado/a,6.2,No,Frecuente,Público
54.3,Santiago,83.0,616000.0,Masculino,Universitaria,Sí,Media,Separado/a,11.1,No,Nunca,
49.8,La Serena,64.3,765000.0,Femenino,Técnica,No,Baja,Soltero/a,,No,Ocasional,Privado
35.3,Valparaíso,68.9,1200000.0,Femenino,Media,Sí,Baja,Soltero/a,4.0,No,Ocasional,Bicicleta/Pie
51.4,La Serena,85.9,983000.0,Masculino,Universitaria,No,Media,Viudo/a,5.9,No,Nunca,Privado
28.4,La Serena,54.6,802000.0,Femenino,Media,No,,Viudo/a,7.1,Sí,Frecuente,
36.4,Temuco,53.2,741000.0,Femenino,Media,,Alta,Soltero/a,6.9,Sí,Nunca,Bicicleta/Pie
,Puerto Montt,63.0,819000.0,Masculino,Técnica,Sí,Alta,Separado/a,6.9,Sí,,Público
41.2,Valparaíso,82.5,672000.0,Masculino,Técnica,No,Media,Viudo/a,,No,Frecuente,Privado
74.7,Valdivia,51.8,274000.0,Masculino,Básica,Sí,Media,Viudo/a,6.2,No,Nunca,Privado
12.0,Santiago,36.0,,Masculino,Básica,,Baja,Viudo/a,6.9,Sí,Ocasional,Bicicleta/Pie
50.3,Santiago,64.6,839000.0,Masculino,Técnica,Sí,Media,Separado/a,9.3,No,Frecuente,Privado
,Antofagasta,76.6,,Masculino,Universitaria,No,Alta,Soltero/a,9.3,Sí,Nunca,Bicicleta/Pie
32.9,Concepción,84.4,786000.0,Femenino,Básica,,Alta,Viudo/a,8.5,Sí,Frecuente,Bicicleta/Pie
56.3,Antofagasta,64.4,616000.0,Femenino,Media,,Alta,Separado/a,6.5,No,Ocasional,Público
41.0,Valdivia,65.1,754000.0,Masculino,Universitaria,No,Alta,Separado/a,5.9,,Nunca,Privado
23.8,Antofagasta,83.8,400000.0,Femenino,Media,No,Alta,Separado/a,6.9,No,Nunca,Privado
29.3,Santiago,47.6,1369000.0,Femenino,Técnica,No,Alta,Separado/a,7.0,No,Ocasional,Bicicleta/Pie
50.2,Temuco,65.3,491000.0,Masculino,Media,No,Media,Viudo/a,6.9,No,Ocasional,Bicicleta/Pie
29.0,La Serena,72.3,542000.0,Femenino,Universitaria,Sí,Alta,Soltero/a,7.8,Sí,Ocasional,Bicicleta/Pie
43.2,Puerto Montt,75.4,690000.0,Femenino,Técnica,No,Alta,Soltero/a,7.5,Sí,Nunca,Bicicleta/Pie
40.7,La Serena,63.9,1122000.0,Masculino,Universitaria,Sí,Alta,Separado/a,7.5,No,Ocasional,Público
30.2,La Serena,70.4,804000.0,Femenino,Media,Sí,Alta,Soltero/a,6.3,No,Nunca,Privado
72.2,Valparaíso,,491000.0,Femenino,,No,Media,Viudo/a,5.2,No,Nunca,Público
49.5,Santiago,62.1,1114000.0,,Técnica,No,Baja,Soltero/a,8.0,No,Frecuente,Privado
9.6,Valdivia,75.4,983000.0,Femenino,Media,Sí,Baja,Soltero/a,7.1,Sí,Ocasional,
42.8,Valdivia,58.2,,Femenino,Media,,Baja,Casado/a,7.6,No,Ocasional,Bicicleta/Pie
30.1,Puerto Montt,70.7,979000.0,Femenino,Básica,No,Baja,Soltero/a,7.7,No,Frecuente,Público
52.8,Temuco,75.4,1399000.0,Masculino,Básica,Sí,Alta,Soltero/a,4.0,No,Nunca,Público
28.1,Valparaíso,65.9,1346000.0,Masculino,,Sí,Baja,Separado/a,9.6,,Nunca,Bicicleta/Pie
38.3,Concepción,72.0,628000.0,Femenino,Básica,Sí,Baja,Separado/a,6.2,No,Nunca,Bicicleta/Pie
